date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:32	180/180	------	200	untouched ('OK')	text/plain	date:Sat,%2001%20May%202021%2012:04:18%20GMT	https://community.wvbtech.com/robots.txt		(from )
20:09:32	148637/148637	------	200	untouched ('OK')	text/html	date:Sat,%2001%20May%202021%2012:04:19%20GMT	https://community.wvbtech.com/	C:/My%20Websites/wvbCommunity/web/index.html	(from )
20:09:32	111998/111998	------	200	untouched ('')	image/png	etag:%2260700251-1b57e%22	https://community.wvbtech.com/assets/site-image-uyw0ddi5.png	C:/My%20Websites/wvbCommunity/web/png/site-image-uyw0ddi5.png	(from https://community.wvbtech.com/)
20:09:32	220042/220042	------	200	untouched ('OK')	text/css	etag:W/%22607fb646-3607a%22	https://community.wvbtech.com/assets/forum-25d1430a.css	C:/My%20Websites/wvbCommunity/web/css/forum-25d1430a.css	(from https://community.wvbtech.com/)
20:09:32	220632/220632	------	200	untouched ('OK')	text/css	etag:W/%22607fb647-362ca%22	https://community.wvbtech.com/assets/forum-dark-02cf6ccb.css	C:/My%20Websites/wvbCommunity/web/css/forum-dark-02cf6ccb.css	(from https://community.wvbtech.com/)
20:09:32	3157/3157	------	200	untouched ('')	image/png	etag:%2260700251-c55%22	https://community.wvbtech.com/assets/favicon-xkzdfssf.png	C:/My%20Websites/wvbCommunity/web/png/favicon-xkzdfssf.png	(from https://community.wvbtech.com/)
20:09:32	857/857	------	200	untouched ('')	text/javascript	date:Sat,%2001%20May%202021%2012:04:20%20GMT	https://www.recaptcha.net/recaptcha/api.js?hl=zh-Hans&render=explicit	C:/My%20Websites/wvbCommunity/web/js/apic793.js	(from https://community.wvbtech.com/)
20:09:32	78196/78196	------	200	untouched ('')	font/woff2	etag:%2260700251-13174%22	https://community.wvbtech.com/assets/fonts/fa-solid-900.woff2	C:/My%20Websites/wvbCommunity/web/woff2/fa-solid-900.woff2	(from https://community.wvbtech.com/)
20:09:32	76764/76764	------	200	untouched ('')	font/woff2	etag:%2260700251-12bdc%22	https://community.wvbtech.com/assets/fonts/fa-brands-400.woff2	C:/My%20Websites/wvbCommunity/web/woff2/fa-brands-400.woff2	(from https://community.wvbtech.com/)
20:09:32	13276/13276	------	200	untouched ('')	font/woff2	etag:%2260700251-33dc%22	https://community.wvbtech.com/assets/fonts/fa-regular-400.woff2	C:/My%20Websites/wvbCommunity/web/woff2/fa-regular-400.woff2	(from https://community.wvbtech.com/)
20:09:32	9390/9390	------	200	untouched ('')	image/png	etag:%2260700264-24ae%22	https://community.wvbtech.com/assets/logo-n5lgaaxg.png	C:/My%20Websites/wvbCommunity/web/png/logo-n5lgaaxg.png	(from https://community.wvbtech.com/)
